id,order_date,ship_date,ship_mode,customer_id,product_id,sales,quantity,discount,profit,customer_name,segment,country,city,state,postal_code,region,category,subcategory,product_name,order_id,status,return_date
CA2011141817,2011-01-06,2011-01-13,Standard Class,MB-18085,OFF-AR-10003478,19.536,3,0.2,4.884,Mick Brown,Consumer,United States,Vineland,New Jersey,8360,East,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",,,
CA2011141817,2011-01-06,2011-01-13,Standard Class,MB-18085,OFF-AR-10003478,19.536,3,0.2,4.884,Mick Brown,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",,,
CA2011130092,2011-01-12,2011-01-15,First Class,SV-20365,FUR-FU-10000010,9.94,2,0,3.0814,Seth Vernon,Consumer,United States,Dover,Delaware,19901,East,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",,,
CA2011103366,2011-01-16,2011-01-18,First Class,EH-13990,TEC-AC-10003628,149.95,5,0,65.978,Erica Hackney,Consumer,United States,Roswell,Georgia,30076,South,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,,,
CA2011140795,2011-02-02,2011-02-04,First Class,BD-11500,TEC-AC-10001432,468.9,6,0,206.316,Bradley Drucker,Consumer,United States,Green Bay,Wisconsin,54302,Central,Technology,Accessories,Enermax Aurora Lite Keyboard,,,
CA2011139857,2011-02-03,2011-02-07,Standard Class,CD-12790,OFF-FA-10001843,12.35,5,0,5.8045,Cynthia Delaney,Home Office,United States,San Diego,California,92037,West,Office Supplies,Fasteners,Staples,,,
CA2011107755,2011-02-08,2011-02-13,Standard Class,CK-12760,TEC-AC-10000710,115.36,7,0,49.6048,Cyma Kinney,Corporate,United States,Linden,New Jersey,7036,East,Technology,Accessories,Maxell DVD-RAM Discs,,,
CA2011107755,2011-02-08,2011-02-13,Standard Class,CK-12760,TEC-AC-10000710,115.36,7,0,49.6048,Cyma Kinney,Corporate,United States,San Francisco,California,94122,West,Technology,Accessories,Maxell DVD-RAM Discs,,,
CA2011107755,2011-02-08,2011-02-13,Standard Class,CK-12760,TEC-AC-10000710,115.36,7,0,49.6048,Cyma Kinney,Corporate,United States,Jacksonville,Florida,32216,South,Technology,Accessories,Maxell DVD-RAM Discs,,,
US2011110674,2011-02-13,2011-02-19,Standard Class,SC-20095,FUR-CH-10000225,129.568,2,0.2,-24.294,Sanjit Chand,Consumer,United States,Concord,California,94521,West,Furniture,Chairs,"Global Geo Office Task Chair, Gray",,,
CA2014140053,2011-03-01,2011-03-06,Second Class,DB-13060,FUR-CH-10004063,457.568,2,0.2,51.4764,Dave Brooks,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,Global Deluxe High-Back Managers Chair,CA2014140053,Complete,2011-05-22
CA2014140053,2011-03-01,2011-03-06,Second Class,DB-13060,FUR-CH-10004063,457.568,2,0.2,51.4764,Dave Brooks,Consumer,United States,Lowell,Massachusetts,1852,East,Furniture,Chairs,Global Deluxe High-Back Managers Chair,CA2014140053,Complete,2011-05-22
CA2014140053,2011-03-01,2011-03-06,Second Class,DB-13060,FUR-CH-10004063,457.568,2,0.2,51.4764,Dave Brooks,Consumer,United States,Chicago,Illinois,60653,Central,Furniture,Chairs,Global Deluxe High-Back Managers Chair,CA2014140053,Complete,2011-05-22
CA2011155852,2011-03-03,2011-03-07,Second Class,AJ-10945,OFF-AR-10003560,19.456,4,0.2,3.4048,Ashley Jarboe,Consumer,United States,Wilmington,North Carolina,28403,South,Office Supplies,Art,Zebra Zazzle Fluorescent Highlighters,,,
CA2011116239,2011-03-04,2011-03-04,Same Day,CL-12565,OFF-ST-10001370,354.9,5,0,17.745,Clay Ludtke,Consumer,United States,Lancaster,California,93534,West,Office Supplies,Storage,Sensible Storage WireTech Storage Systems,,,
CA2011116239,2011-03-04,2011-03-04,Same Day,CL-12565,OFF-ST-10001370,354.9,5,0,17.745,Clay Ludtke,Consumer,United States,Columbia,South Carolina,29203,South,Office Supplies,Storage,Sensible Storage WireTech Storage Systems,,,
US2011100279,2011-03-10,2011-03-14,Standard Class,SW-20275,OFF-PA-10002259,22.38,2,0,10.7424,Scott Williamson,Consumer,United States,Jackson,Mississippi,39212,South,Office Supplies,Paper,"Geographics Note Cards, Blank, White, 8 1/2 x 11",,,
US2011100279,2011-03-10,2011-03-14,Standard Class,SW-20275,OFF-PA-10002259,22.38,2,0,10.7424,Scott Williamson,Consumer,United States,Royal Oak,Michigan,48073,Central,Office Supplies,Paper,"Geographics Note Cards, Blank, White, 8 1/2 x 11",,,
CA2011105172,2011-04-04,2011-04-09,Standard Class,PK-18910,OFF-LA-10001641,18.9,6,0,9.072,Paul Knutson,Home Office,United States,San Francisco,California,94109,West,Office Supplies,Labels,Avery 518,,,
CA2011113887,2011-04-05,2011-04-07,First Class,TH-21550,OFF-PA-10004071,55.48,1,0,26.6304,Tracy Hopkins,Home Office,United States,New York City,New York,10035,East,Office Supplies,Paper,"Eaton Premium Continuous-Feed Paper, 25 Cotton, Letter Size, White, 1000 Shts/Box",,,
CA2011113887,2011-04-05,2011-04-07,First Class,TH-21550,OFF-PA-10004071,55.48,1,0,26.6304,Tracy Hopkins,Home Office,United States,Jacksonville,Florida,32216,South,Office Supplies,Paper,"Eaton Premium Continuous-Feed Paper, 25 Cotton, Letter Size, White, 1000 Shts/Box",,,
CA2011136742,2011-04-06,2011-04-10,Standard Class,GP-14740,OFF-BI-10003719,44.91,6,0.7,-35.928,Guy Phonely,Corporate,United States,Lancaster,Pennsylvania,17602,East,Office Supplies,Binders,Large Capacity Hanging Post Binders,,,
CA2011155208,2011-04-16,2011-04-20,Standard Class,SP-20650,OFF-AR-10003478,39.072,6,0.2,9.768,Stephanie Phelps,Corporate,United States,Wilmington,North Carolina,28403,South,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",,,
CA2011158064,2011-04-21,2011-04-25,Standard Class,AA-10375,OFF-BI-10002976,16.52,5,0.2,5.5755,Allen Armold,Consumer,United States,Mesa,Arizona,85204,West,Office Supplies,Binders,ACCOHIDE Binder by Acco,,,
CA2011158064,2011-04-21,2011-04-25,Standard Class,AA-10375,OFF-BI-10002976,16.52,5,0.2,5.5755,Allen Armold,Consumer,United States,Los Angeles,California,90008,West,Office Supplies,Binders,ACCOHIDE Binder by Acco,,,
CA2011158064,2011-04-21,2011-04-25,Standard Class,AA-10375,OFF-BI-10002976,16.52,5,0.2,5.5755,Allen Armold,Consumer,United States,Salem,Oregon,97301,West,Office Supplies,Binders,ACCOHIDE Binder by Acco,,,
US2011112564,2011-04-23,2011-04-24,First Class,TS-21160,OFF-BI-10004876,2.502,3,0.7,-1.7514,Theresa Swint,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Binders,Wilson Jones Suede Grain Vinyl Binders,,,
CA2011134061,2011-04-29,2011-05-04,Standard Class,LL-16840,FUR-FU-10001424,17.46,2,0,5.9364,Lauren Leatherbury,Consumer,United States,Rochester,New York,14609,East,Furniture,Furnishings,Dax Clear Box Frame,,,
CA2011130274,2011-05-03,2011-05-05,First Class,JS-15940,OFF-LA-10002195,21.56,7,0,10.3488,Joni Sundaresam,Home Office,United States,Park Ridge,Illinois,60068,Central,Office Supplies,Labels,Avery 481,,,
CA2011130274,2011-05-03,2011-05-05,First Class,JS-15940,OFF-LA-10002195,21.56,7,0,10.3488,Joni Sundaresam,Home Office,United States,Appleton,Wisconsin,54915,Central,Office Supplies,Labels,Avery 481,,,
CA2011117709,2011-05-04,2011-05-08,Standard Class,PM-18940,OFF-BI-10001294,46.8,4,0,21.06,Paul MacIntyre,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Binders,Fellowes Binding Cases,,,
CA2011155271,2011-05-04,2011-05-04,Same Day,AA-10480,FUR-FU-10001473,27.46,2,0,9.8856,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,Furniture,Furnishings,DAX Wood Document Frame,,,
CA2011155271,2011-05-04,2011-05-04,Same Day,AA-10480,FUR-FU-10001473,27.46,2,0,9.8856,Andrew Allen,Consumer,United States,Middletown,Connecticut,6457,East,Furniture,Furnishings,DAX Wood Document Frame,,,
